relevance_score,score_reason,url,title,snippet,site_group,engine,people_names,people_titles,people_companies
10,"The candidate is an HR Country Manager in Tokyo, which is an exact match for one of the desired roles and the specified location.",https://jp.linkedin.com/in/koji-date-2a867352/en,"Koji Date - HR Country Manager, Momentive Performance Materials ...","Koji Date. HR Country Manager, Momentive Performance Materials Japan LLC. Resonac 広島大学. Tokyo, Tokyo, Japan ... HR Director Japan, Korea, SEA, Global HRBP for ...",professional_profiles,serper,Koji Date,HR Country Manager,Momentive Performance Materials Japan LLC
9,"The candidate is Head of Japan HR/HRBP in Tokyo, which is a very strong match for the desired roles and location.",https://jp.linkedin.com/in/chihimai,"Chiharu I. - Head of Japan HR/HRBP, Analog Devices | LinkedIn","Head of Japan HR/HRBP, Analog Devices · 職歴: Analog Devices · 場所: 東京 · LinkedIn ... 2021年12月 – 2023年5月 1年6ヶ月. Tokyo, Tokyo, Japan ...",professional_profiles,serper,Chiharu I.,Head of Japan HR/HRBP,Analog Devices
9,"The candidate is Head of HR, Japan in Tokyo, which is a strong match for the desired roles and location.",https://jp.linkedin.com/in/ryo-konno-737a682a,"Ryo Konno - Head of HR, Japan - LinkedIn","Head of HR, Japan. Biogen Hitotsubashi University Graduate School of International Corporate Strategy. 日本 東京都 東京 ... Tokyo, Japan. Cardinal Health ...",professional_profiles,serper,Ryo Konno,"Head of HR, Japan",Biogen
8,"The candidate is a General Manager and Global Head of HRBP in Tokyo, which aligns well with the desired roles and location.",https://jp.linkedin.com/in/naotake-takahashi-b4085a46/en,"Naotake Takahashi - General Manager, Global Head of HRBP","General Manager, Global Head of HRBP | People-centered Leader. Astemo Chiba University. Tokyo, Tokyo, Japan ... 日本 東京都 23 区内. 山崎製パン Graphic. HR ...",professional_profiles,serper,Naotake Takahashi,"General Manager, Global Head of HRBP",Astemo
8,"The candidate has CHRO experience and is in a senior HR leadership role (人事統括) in Japan, aligning with the desired seniority and HR focus.",https://jinjibu.jp/hr-conference/202411/,日本の人事部「ＨＲカンファレンス2024-秋-」,<strong>株式会社Hajimari 執行役員 人事統括（HRC）/元 株式会社日本M&amp;Aセンターホールディングス CHRO</strong>,conference_and_events,brave,,執行役員 人事統括（HRC）/元 株式会社日本M&Aセンターホールディングス CHRO,株式会社Hajimari
8,"The candidate is a CHRO with experience in global companies and is a recognized figure in strategic HR in Japan, indicating high seniority and relevance.",https://every-co.com/seminar/hr-career-and-leadership-yosuke-yagi/,【2025年新年特別セミナー/八木洋介氏登壇】HRのキャリアとリーダーシップとは - 株式会社Every,本セミナーでは、『戦略人事のビジョン』の著者であり、GEやLIXILといったグローバル企業での経験を経て「戦略人事」を日本に提唱した八木洋介氏をお招きし、どのようにリーダーシップを発揮し、組織の価値を高めてきたのかを皆さんと一緒に考えます。 また、現役のCHROをパネリストに迎え、次世代CHROを目指すための具体的なキャリアパスや、HRとして経験すべき重要なポイントを議論します。,conference_and_events,brave,八木洋介,CHRO,
8,"The candidates are CHROs at major Japanese companies, indicating the correct seniority and relevant experience in the Japanese market.",https://jinjibu.jp/info/detl/1914/,日本の人事部「ＨＲカンファレンス2025-秋-」開催 200講演ライブ配信！ 注目の人事トレンドを網羅 | 『日本の人事部』,日本を代表する二人のCHROが語り合う、「新天地での人事戦略」と「私の人事観」 （<strong>いすゞ自動車 有沢 正人氏／YKK AP 西田 政之氏</strong>）,conference_and_events,brave,有沢 正人; 西田 政之,CHRO; CHRO,いすゞ自動車; YKK AP
7,"The candidate is an HR Director and HRBP in Tokyo, fitting the seniority and location, with a related role.",https://jp.linkedin.com/in/hayato-takahashi-970259154,"Hayato Takahashi - HR Director, Business Partner | LinkedIn","日本 東京都 東京 ... Supplies in extremely diverse industries, electronics, steel, food, beverage and healthcare. Responsibility for HR Director HRBP, Country HR ...",professional_profiles,serper,Hayato Takahashi,"HR Director, Business Partner",
6,"The candidate is a Founder of an HR Executive Search firm in Tokyo and has CHRO experience, indicating relevant industry knowledge and location.",https://jp.linkedin.com/in/jason-lewis-0293729,Jason Lewis - Founder | HR Executive Search Japan - LinkedIn,Jason Lewis. Founder | HR Executive Search Japan | CHRO | HR Leadership Search | Board & C-Suite Search | Tokyo | Asia HR Search | Executive Recruiter ...,professional_profiles,serper,Jason Lewis,Founder | HR Executive Search Japan,
3,"The candidate is an HR Senior Manager and HRBP in Tokyo, which is a good location but slightly below the desired seniority for top executive roles.",https://jp.linkedin.com/in/%E6%B8%85%E4%BA%BA-%E8%A5%BF%E7%94%B0-b3221a80/en,"Kiyoto Nishida - HR Senior Manager, HR Business Partner, HRBP ...","HR Senior Manager, HR Business Partner, HRBP, H.U. Group Holdings, inc. H.U. Group Holdings, inc Konan University. Tokyo, Tokyo, Japan. 128 followers 118 ...",professional_profiles,serper,Kiyoto Nishida,"HR Senior Manager, HR Business Partner, HRBP","H.U. Group Holdings, inc"
